Vertices,Edges,Edge probability,2^boolwidth,est min,est avg,est max
60,284,0.309795,38541,1.517857,3.834145,6.492857
60,332,0.350811,23404,2.142857,3.680856,6.391667
60,257,0.280506,59346,2.222222,4.911696,6.983333
60,305,0.325476,29554,1.766667,3.737139,5.817100
60,654,0.720192,374,0.186335,1.224484,2.630952
60,205,0.229318,148264,2.444444,5.000393,7.250000
60,418,0.458521,6079,0.825000,2.326185,5.451923
60,421,0.498358,6048,0.645833,2.555003,4.783333
60,228,0.238351,97982,2.083333,5.319074,10.283333
60,709,0.798882,194,0.208333,1.009226,2.538462
60,473,0.533108,3252,0.430556,2.240142,3.719298
60,453,0.466410,3932,0.450000,2.156011,3.938095
60,488,0.554563,2806,0.348214,1.933908,4.062500
60,372,0.430233,11383,1.200000,2.454660,4.809524
60,354,0.397790,14945,1.390909,3.310500,4.958333
60,233,0.267214,78439,2.561111,4.808701,7.619048
60,254,0.292383,73356,1.750000,4.705031,7.540909
60,612,0.702685,621,0.430556,1.561134,3.555556
60,398,0.451574,8087,0.681818,2.545042,4.012500
60,258,0.268470,63661,2.365079,4.650848,6.458333
60,447,0.478004,4270,0.844780,2.248192,4.012500
60,242,0.293671,77095,2.976190,5.169431,8.209524
60,637,0.700288,452,0.170455,1.227137,2.291667
60,597,0.632485,662,0.510965,1.821321,4.247619
60,637,0.691295,463,0.138889,1.239613,2.716667
60,258,0.298981,62581,2.217857,4.375507,6.983766
60,665,0.729623,339,0.186335,1.060015,2.291667
60,606,0.689867,672,0.368347,1.480635,3.368590
60,440,0.492019,4681,1.136447,2.467256,4.462500
60,299,0.325653,28906,2.166667,3.895295,5.883333
60,308,0.347607,29885,0.625000,3.497616,5.785714
60,308,0.355282,28425,1.176190,3.590171,6.916667
60,293,0.315352,32321,1.642857,3.852377,6.492857
60,424,0.460921,5914,1.469298,2.952794,4.394444
60,501,0.554208,2154,0.526190,1.874792,3.698413
60,263,0.313989,58515,1.537302,4.374740,7.087302
60,654,0.700143,359,0.170455,1.233863,3.375000
60,547,0.600945,1280,0.492157,1.651972,2.795455
60,316,0.324439,26006,1.896429,3.502003,5.777778
60,354,0.422532,11223,1.219780,2.982618,5.592157
60,238,0.251456,81649,2.170635,5.015375,7.616667
60,394,0.422060,9403,0.927778,2.784547,4.868687
60,431,0.488839,5332,0.664286,2.344556,4.507576
60,555,0.600372,1188,0.500000,1.615097,3.214286
60,668,0.745741,318,0.466667,1.301228,3.214286
60,625,0.695038,517,0.158730,1.419965,4.216667
60,510,0.561392,2076,0.419935,2.075587,4.588889
60,375,0.441374,10859,0.625000,3.156796,5.910256
60,226,0.262615,91335,1.977778,4.836045,7.700000
60,444,0.479403,4611,0.675000,2.238054,4.191667
60,631,0.699906,509,0.150000,1.321513,3.375000
60,427,0.444983,5811,0.701923,2.457181,4.433766
60,701,0.771521,236,0.143541,0.842604,2.373333
60,705,0.790100,219,0.208333,1.242165,3.037037
60,618,0.687604,571,0.158730,1.512507,4.169935
60,305,0.356547,33747,1.688095,3.713934,6.402778
60,552,0.614654,1241,0.388889,1.585834,3.245455
60,532,0.602840,1505,0.445489,2.139088,3.719298
60,638,0.697108,472,0.143541,1.440909,2.378788
60,385,0.414668,8764,0.640909,2.774051,4.868687
60,199,0.209358,120890,2.250000,6.545701,10.458333
60,316,0.357231,26010,1.742857,3.895278,5.604762
60,563,0.639253,1058,0.398413,1.678975,3.214286
60,307,0.330598,32675,2.040909,3.510588,5.267857
60,216,0.243796,104951,3.061111,5.561682,8.325000
60,359,0.428306,14987,1.110256,3.008676,5.209524
60,234,0.309070,95958,2.040909,4.867979,8.176190
60,524,0.570590,1703,0.545455,1.800523,3.455357
60,419,0.459024,6258,0.874242,2.672151,5.035256
60,506,0.567364,2059,0.500000,1.874629,3.015873
60,290,0.320057,33526,2.091667,4.086145,7.461111
60,700,0.776772,220,0.143541,1.010717,3.540000
60,376,0.398690,10211,1.433333,3.303811,5.475000
60,232,0.262016,106332,2.525000,4.616082,6.924242
60,487,0.565248,2495,0.383824,1.880661,3.585965
60,473,0.545520,2929,0.762500,2.209039,4.431818
60,226,0.264414,94114,3.076190,5.463771,8.292857
60,488,0.533167,2730,0.466667,2.317610,4.433333
60,582,0.659858,852,0.398413,1.640396,3.520833
60,436,0.484414,4842,0.925490,2.512610,4.958333
60,228,0.240485,86945,2.290909,5.563797,8.766667
60,431,0.473114,4796,0.688034,2.322815,4.138889
60,266,0.305213,49693,2.166667,4.502448,6.350000
60,439,0.489819,4668,1.326190,2.690619,4.722222
60,320,0.345861,21314,1.150000,3.691736,5.365079
60,388,0.434279,7874,1.316667,2.737655,5.033333
60,677,0.767383,292,0.208333,1.168619,2.291667
60,471,0.526730,3299,0.366667,2.169124,4.433333
60,396,0.434533,8200,1.193590,2.887459,4.776923
60,339,0.402079,18449,1.033333,3.181547,5.650000
60,619,0.686416,586,0.500000,1.697812,3.535014
60,437,0.450944,4597,0.325397,2.258228,4.553114
60,370,0.397141,11249,1.125000,3.149636,6.571429
60,666,0.728221,317,0.150000,1.048051,3.192857
60,394,0.423273,8263,0.664286,2.999367,6.053114
60,718,0.790763,178,0.170455,0.929284,2.538462
60,273,0.317343,47547,1.537302,4.567659,6.311111
60,429,0.462239,5509,0.788690,2.555401,4.943590
60,441,0.511509,4204,0.921429,2.216929,4.092157
60,620,0.701339,588,0.288462,1.398504,2.795455
60,465,0.505751,3758,0.373611,2.095879,3.511111
60,514,0.599345,1724,0.510965,1.841156,3.500000
60,473,0.509486,3136,0.344444,1.949475,4.588889
60,649,0.719405,392,0.170455,1.170050,3.214286
60,703,0.772338,214,0.150000,0.967919,2.040000
60,407,0.461726,7638,0.664286,2.956460,5.035256
60,214,0.246339,115289,3.092857,6.066975,10.166667
60,251,0.279543,74496,1.616667,4.769183,6.717857
60,521,0.605064,1837,0.186335,1.630588,4.295455
60,683,0.748137,274,0.170455,1.215899,2.531746
60,641,0.721146,467,0.158730,1.355369,2.716667
60,356,0.405306,13060,1.611111,2.815575,5.904762
60,451,0.498049,4021,0.674242,2.488068,6.214286
60,489,0.523227,2469,0.510965,2.101559,4.401923
60,319,0.349690,22209,0.625000,3.980666,5.750000
60,715,0.759358,188,0.170455,1.048208,2.291667
60,629,0.716951,512,0.466667,1.740106,3.375000
60,727,0.773247,167,0.158730,0.990126,2.538462
60,583,0.656952,852,0.398413,1.732583,4.216667
60,652,0.726521,351,0.158730,1.062512,2.243478
60,455,0.502314,3641,0.373611,2.118862,4.687500
60,316,0.328867,26486,0.876923,3.609159,5.790909
60,627,0.685878,539,0.419298,1.490321,3.177632
60,193,0.211932,232423,2.900000,6.054127,9.816667
60,612,0.693457,618,0.186335,1.395715,3.192857
60,667,0.748562,315,0.208333,1.490331,4.216667
60,330,0.334235,21361,1.274242,3.132878,4.926190
60,670,0.763736,305,0.186335,1.154939,2.876812
60,531,0.606086,1453,0.383824,1.798733,2.735354
60,324,0.367567,21389,0.917832,3.169543,5.444444
60,651,0.741285,383,0.158730,1.470242,3.245455
60,235,0.275589,77524,2.033333,4.908653,8.466667
60,667,0.716138,317,0.170455,1.220940,2.531746
60,502,0.547687,2040,0.742857,1.967616,3.975490
60,453,0.524745,4038,0.354167,2.332598,4.195489
60,445,0.488913,4375,0.683333,2.250702,4.438095
60,625,0.690441,538,0.150000,1.336902,4.195489
60,535,0.612230,1519,0.404762,1.696432,3.750000
60,474,0.515937,3253,0.419298,1.849308,3.535014
60,704,0.798253,216,0.158730,0.913082,3.037037
60,319,0.361640,28363,1.109524,3.662549,7.576190
60,209,0.218167,85956,2.694444,5.132304,7.477778
